0.50;0.06
0.50;0.06
0.60;0.06
0.80;0.07
0.95;0.06
1.10;0.06
1.30;0.06
1.45;0.05
1.60;0.06
1.80;0.06
1.95;0.06
2.10;0.06
2.30;0.06
2.45;0.06
2.65;0.06
2.80;0.06
3.00;0.06
3.15;0.05
3.30;0.06
3.50;0.06
3.65;0.06
3.80;0.05
3.95;0.06
4.10;0.05
4.30;0.06
4.45;0.05
4.65;0.06
4.85;0.05
5.00;0.06
5.15;0.05
5.35;0.06
5.50;0.05
5.70;0.06
5.85;0.06
6.05;0.07
6.15;0.06
6.35;0.07
6.50;0.07
6.70;0.08
6.85;0.08
7.05;0.09
7.20;0.09
7.40;0.10
7.55;0.09
7.70;0.09
7.90;0.09
8.05;0.10
8.20;0.09
8.40;0.09
8.55;0.09
8.70;0.09
8.90;0.08
9.05;0.09
9.25;0.08
9.40;0.08
9.55;0.08
9.75;0.08
9.90;0.08
10.05;0.07
10.20;0.08
10.40;0.09
10.55;0.09
10.75;0.10
10.90;0.12
11.05;0.13
11.25;0.16
11.40;0.17
11.60;0.20
11.75;0.21
11.90;0.22
12.10;0.21
12.25;0.21
12.45;0.19
12.60;0.18
12.75;0.16
12.95;0.15
13.10;0.14
13.30;0.13
13.45;0.11
13.60;0.11
13.80;0.10
13.95;0.09
14.10;0.08
14.30;0.08
14.45;0.08
14.65;0.09
14.80;0.09
14.95;0.11
15.15;0.13
15.30;0.15
15.45;0.19
15.60;0.23
15.80;0.27
15.95;0.33
16.10;0.38
16.30;0.45
16.45;0.49
16.65;0.52
16.80;0.51
16.95;0.48
17.15;0.42
17.30;0.37
17.45;0.32
17.65;0.27
17.80;0.23
17.95;0.20
18.15;0.17
18.35;0.14
18.50;0.12
18.65;0.11
18.85;0.09
19.00;0.09
19.15;0.09
19.35;0.10
19.50;0.12
19.65;0.14
19.85;0.19
20.00;0.23
20.20;0.29
20.35;0.36
20.55;0.46
20.70;0.55
20.85;0.66
21.00;0.80
21.20;0.91
21.35;0.99
21.55;1.04
21.70;1.00
21.90;0.88
22.05;0.76
22.20;0.65
22.40;0.53
22.55;0.43
22.70;0.34
22.90;0.27
23.05;0.22
23.25;0.18
23.40;0.14
23.55;0.12
23.75;0.11
23.90;0.11
24.10;0.12
24.25;0.14
24.40;0.18
24.55;0.23
24.70;0.30
24.95;0.41
25.05;0.51
25.25;0.64
25.40;0.80
25.60;0.97
25.75;1.17
25.90;1.34
26.10;1.51
26.25;1.68
26.40;1.74
26.60;1.68
26.75;1.54
26.90;1.35
27.10;1.13
27.25;0.94
27.40;0.75
27.60;0.58
27.75;0.47
27.95;0.36
28.10;0.28
28.25;0.22
28.45;0.18
28.60;0.15
28.80;0.15
28.95;0.17
29.10;0.21
29.30;0.27
29.45;0.35
29.65;0.47
29.80;0.60
29.95;0.75
30.10;0.98
30.30;1.18
30.50;1.47
30.65;1.74
30.80;2.02
31.00;2.32
31.15;2.50
31.30;2.60
31.50;2.58
31.65;2.44
31.80;2.21
32.00;1.95
32.15;1.66
32.35;1.33
32.50;1.07
32.70;0.82
32.85;0.65
33.00;0.52
33.20;0.40
33.35;0.32
33.50;0.26
33.70;0.25
33.85;0.27
34.00;0.27
34.20;0.39
34.35;0.52
34.50;0.67
34.70;0.85
34.90;1.09
35.05;1.33
35.20;1.69
35.35;2.03
35.55;2.41
35.55;2.46
35.55;2.45
35.55;2.46
35.55;2.46
35.55;2.45
35.55;2.45
35.55;2.45
35.55;2.45
