0.35;0.05
0.35;0.06
0.35;0.05
0.35;0.06
0.35;0.06
0.35;0.06
0.50;0.06
0.65;0.06
0.85;0.06
1.00;0.06
1.20;0.06
1.35;0.06
1.50;0.06
1.70;0.06
1.85;0.06
2.00;0.06
2.20;0.05
2.35;0.05
2.50;0.06
2.70;0.06
2.85;0.06
3.05;0.06
3.20;0.06
3.40;0.06
3.55;0.06
3.70;0.05
3.85;0.06
4.00;0.06
4.20;0.06
4.35;0.06
4.55;0.06
4.70;0.06
4.90;0.07
5.05;0.07
5.25;0.07
5.40;0.08
5.55;0.09
5.70;0.10
5.90;0.11
6.05;0.12
6.20;0.14
6.40;0.15
6.60;0.17
6.75;0.18
6.95;0.19
7.10;0.19
7.25;0.19
7.40;0.18
7.55;0.18
7.75;0.16
7.90;0.16
8.10;0.14
8.25;0.14
8.45;0.13
8.60;0.13
8.80;0.12
8.95;0.12
9.10;0.12
9.25;0.13
9.45;0.15
9.60;0.16
9.80;0.19
9.95;0.21
10.10;0.24
10.30;0.27
10.45;0.31
10.60;0.35
10.75;0.41
10.95;0.46
11.10;0.53
11.30;0.59
11.45;0.65
11.65;0.68
11.80;0.67
12.00;0.61
12.15;0.55
12.30;0.48
12.50;0.42
12.65;0.36
12.85;0.30
13.00;0.26
13.15;0.23
13.35;0.20
13.50;0.20
13.70;0.20
13.85;0.22
14.00;0.24
14.20;0.28
14.30;0.32
14.50;0.39
14.65;0.45
14.85;0.53
15.00;0.63
15.20;0.73
15.35;0.83
15.50;0.96
15.70;1.07
15.85;1.24
16.00;1.39
16.15;1.53
16.40;1.69
16.55;1.74
16.70;1.68
16.85;1.50
17.00;1.28
17.20;1.05
17.35;0.86
17.55;0.66
17.70;0.53
17.85;0.43
18.05;0.36
18.20;0.33
18.40;0.33
18.55;0.34
18.70;0.39
18.90;0.46
19.05;0.56
19.20;0.65
19.40;0.80
19.55;0.93
19.75;1.12
19.90;1.28
20.05;1.48
20.25;1.72
20.40;1.94
20.55;2.22
20.75;2.48
20.90;2.76
21.10;3.08
21.25;3.28
21.45;3.39
21.60;3.29
21.75;3.00
21.90;2.52
22.10;2.13
22.25;1.70
22.45;1.34
22.60;1.03
22.80;0.79
22.95;0.67
23.10;0.59
23.30;0.57
23.45;0.60
23.65;0.68
23.75;0.79
23.90;0.93
24.10;1.13
24.25;1.34
24.45;1.62
24.60;1.88
24.75;2.17
24.95;2.52
25.10;2.83
25.30;3.24
25.45;3.63
25.60;4.03
25.80;4.53
25.95;4.96
26.15;5.38
26.30;5.58
26.45;5.53
26.65;5.19
26.80;4.72
26.95;4.13
27.15;3.57
27.30;2.96
27.45;2.28
27.65;1.84
27.80;1.48
28.00;1.26
28.15;1.12
28.30;1.10
28.50;1.17
28.65;1.31
28.85;1.50
29.00;1.74
29.15;2.08
29.30;2.42
29.50;2.80
29.65;3.28
29.85;3.74
30.00;4.32
30.15;4.85
30.35;5.42
30.55;6.08
30.70;6.69
30.85;7.43
31.00;8.01
31.15;8.42
31.40;8.59
31.50;8.44
31.70;7.97
31.85;7.40
32.05;6.71
32.20;5.77
32.35;4.83
32.55;4.07
32.70;3.41
32.85;2.95
33.05;2.52
33.20;2.34
33.35;2.30
33.55;2.39
33.70;2.57
33.90;2.92
34.05;3.31
34.20;3.77
34.40;4.39
34.55;4.99
34.75;5.70
34.90;6.44
35.05;7.24
35.25;8.32
35.35;9.07
35.40;9.07
35.35;9.07
35.35;9.08
35.35;9.08
35.35;9.08
35.35;9.07
35.35;9.07
35.35;9.10
35.35;9.09
35.40;9.10
35.40;9.10
