0.30;0.05
0.30;0.06
0.30;0.06
0.30;0.05
0.30;0.06
0.30;0.05
0.30;0.06
0.30;0.05
0.30;0.06
0.30;0.05
0.30;0.05
0.30;0.05
0.30;0.05
0.25;0.05
0.30;0.05
0.30;0.05
0.30;0.05
0.30;0.05
0.30;0.05
0.30;0.05
0.25;0.05
0.30;0.04
0.45;0.05
0.65;0.04
0.80;0.06
0.95;0.04
1.15;0.05
1.30;0.04
1.50;0.05
1.65;0.05
1.80;0.05
2.00;0.05
2.20;0.05
2.30;0.05
2.45;0.05
2.65;0.05
2.80;0.06
3.00;0.05
3.15;0.05
3.30;0.05
3.50;0.06
3.65;0.05
3.85;0.05
4.00;0.05
4.15;0.05
4.35;0.05
4.50;0.05
4.70;0.06
4.85;0.06
5.00;0.07
5.20;0.07
5.35;0.08
5.50;0.10
5.70;0.10
5.85;0.10
6.05;0.12
6.20;0.13
6.40;0.15
6.55;0.15
6.70;0.17
6.90;0.17
7.05;0.18
7.20;0.18
7.40;0.18
7.55;0.17
7.70;0.17
7.90;0.16
8.05;0.16
8.25;0.15
8.40;0.15
8.60;0.14
8.75;0.15
8.90;0.15
9.10;0.16
9.25;0.16
9.40;0.18
9.60;0.19
9.75;0.21
9.90;0.23
10.05;0.26
10.25;0.29
10.40;0.33
10.60;0.36
10.75;0.41
10.90;0.45
11.10;0.51
11.30;0.56
11.45;0.60
11.60;0.63
11.80;0.62
11.90;0.58
12.10;0.53
12.25;0.48
12.45;0.42
12.60;0.37
12.80;0.33
12.95;0.31
13.15;0.29
13.35;0.28
13.50;0.28
13.65;0.29
13.80;0.31
14.00;0.34
14.15;0.38
14.30;0.43
14.50;0.47
14.65;0.55
14.85;0.61
15.00;0.69
15.20;0.77
15.35;0.86
15.50;0.97
15.65;1.08
15.80;1.18
16.00;1.34
16.15;1.44
16.35;1.55
16.50;1.56
16.65;1.49
16.85;1.32
17.00;1.15
17.20;0.95
17.35;0.81
17.50;0.68
17.70;0.57
17.85;0.51
18.05;0.49
18.20;0.48
18.35;0.51
18.55;0.55
18.70;0.61
18.90;0.69
19.05;0.78
19.20;0.88
19.40;1.01
19.55;1.14
19.70;1.27
19.90;1.45
20.05;1.60
20.25;1.81
20.40;1.96
20.55;2.16
20.70;2.40
20.85;2.63
21.05;2.85
21.25;2.99
21.40;2.99
21.55;2.78
21.75;2.45
21.90;2.06
22.10;1.74
22.25;1.45
22.40;1.15
22.60;0.98
22.75;0.86
22.90;0.82
23.10;0.81
23.25;0.88
23.40;0.95
23.60;1.07
23.75;1.20
23.95;1.35
24.10;1.55
24.25;1.74
24.40;1.96
24.60;2.23
24.75;2.47
24.95;2.78
25.10;3.05
25.25;3.34
25.45;3.69
25.60;3.99
25.80;4.36
25.95;4.67
26.10;4.88
26.30;4.92
26.45;4.69
26.60;4.20
26.80;3.69
26.95;3.19
27.15;2.67
27.30;2.20
27.45;1.86
27.65;1.61
27.80;1.49
28.00;1.42
28.15;1.46
28.30;1.54
28.50;1.73
28.65;1.90
28.80;2.18
29.00;2.43
29.15;2.73
29.35;3.09
29.50;3.41
29.65;3.80
29.85;4.18
30.00;4.57
30.15;5.07
30.35;5.52
30.50;6.09
30.70;6.56
30.85;7.00
31.00;7.34
31.20;7.40
31.35;7.19
31.50;6.78
31.70;6.25
31.85;5.53
32.00;4.87
32.15;4.21
32.35;3.54
32.55;3.14
32.70;2.81
32.85;2.62
33.05;2.57
33.20;2.64
33.40;2.77
33.55;3.00
33.70;3.28
33.85;3.61
34.05;4.07
34.20;4.49
34.40;5.05
34.55;5.53
34.70;6.07
34.90;6.71
35.05;7.28
35.25;8.04
35.30;8.34
35.30;8.33
35.30;8.33
35.30;8.32
35.30;8.32
