T,U_gegen,Mittel-Abstand,Mittel-Breite,X-pos des Maximums,Differenz,Breite
200,2,4.4675,2.37927927927928,14.212,-,2.05405405405405
,,,,18.604,4.392,2.36216216216216
,,,,22.951,4.347,2.72162162162162
,,,,27.470,4.519,
,,,,32.082,4.612,
