T,U_gegen,Mittel-Abstand,Mittel-Breite,X-pos des Maximums,Differenz,Breite
172,2,4.84775,1.64044044044044,11.699,-,1.78518518518518
,,,,16.450,4.751,1.61631631631631
,,,,21.262,4.812,1.51981981981982
,,,,26.141,4.879,
,,,,31.09,4.949,
