T,U_gegen,Mittel-Abstand,Mittel-Breite,X-pos des Maximums,Differenz,Breite
165,3,4.834,1.34594594594594,12.027,-,1.43513513513513
,,,,16.689,4.662,1.33783783783784
,,,,21.514,4.825,1.26486486486486
,,,,26.399,4.885,
,,,,31.363,4.964,
