T,U_gegen,Mittel-Abstand,Mittel-Breite,X-pos des Maximums,Differenz,Breite
165,1.5,4.853,1.69673006339673,11.632,-,1.95405405405405
,,,,16.341,4.709,1.68868868868869
,,,,21.125,4.784,1.44744744744744
,,,,26.017,4.892,
,,,,31.044,5.027,
