T,U_gegen,Mittel-Abstand,Mittel-Breite,X-pos des Maximums,Differenz,Breite
185,2,4.71825,1.60754087420754,12.149,-,1.63703703703704
,,,,16.742,4.593,1.59279279279279
,,,,21.445,4.703,1.59279279279279
,,,,26.210,4.765,
,,,,31.022,4.812,
