T,U_gegen,Mittel-Abstand,Mittel-Breite,X-pos des Maximums,Differenz,Breite
180,2,4.77075,1.63822155488822,11.919,-,1.70215215215215
,,,,16.546,4.627,1.60625625625626
,,,,21.312,4.766,1.60625625625626
,,,,26.133,4.821,
,,,,31.002,4.869,
