T,U_gegen,Mittel-Abstand,Mittel-Breite,X-pos des Maximums,Differenz,Breite
165,2.5,4.8665,1.49189189189189,11.793,-,1.60540540540541
,,,,16.521,4.728,1.48378378378378
,,,,21.356,4.835,1.38648648648649
,,,,26.261,4.905,
,,,,31.259,4.998,
