T,U_gegen,Mittel-Abstand,Mittel-Breite,X-pos des Maximums,Differenz,Breite
165,2,4.8345,1.64255922589256,11.780,-,1.82057057057057
,,,,16.467,4.687,1.62637637637638
,,,,21.265,4.798,1.48073073073073
,,,,26.153,4.888,
,,,,31.118,4.965,
