T,U_gegen,Mittel-Abstand,Mittel-Breite,X-pos des Maximums,Differenz,Breite
165,4,4.87225,1.19744744744745,12.143,-,1.24099099099099
,,,,16.902,4.759,1.19744744744745
,,,,21.743,4.841,1.1539039039039
,,,,26.649,4.906,
,,,,31.632,4.983,
