T,U_gegen,Mittel-Abstand,Mittel-Breite,X-pos des Maximums,Differenz,Breite
175,2,4.81225,1.64384384384384,11.795,-,1.74054054054054
,,,,16.504,4.709,1.61966966966967
,,,,21.274,4.77,1.57132132132132
,,,,26.121,4.847,
,,,,31.044,4.923,
