T,U_gegen,Mittel-Abstand,Mittel-Breite,X-pos des Maximums,Differenz,Breite
190,2,4.5975,1.76156156156156,12.928,-,1.61476476476477
,,,,17.357,4.429,1.71961961961962
,,,,21.942,4.585,1.9503003003003
,,,,26.597,4.655,
,,,,31.318,4.721,
