x/nm,x_error,lambda,lambda_error
300,5,700.31,5
325,5,720.54,5
350,5,733.99,5
375,5,744.90,5
400,5,754.32,5
425,5,766.39,5
450,5,777.18,5
475,5,794.32,5
500,5,805.14,5
