x/nm,x_error,T,T_error
300,5,81.86,5
325,5,78.65,5
350,5,77.86,5
375,5,77.04,5
400,5,75.09,5
425,5,74.13,5
450,5,71.91,5
475,5,68.75,5
500,5,62.42,5
