Lambda / nm,U_I_0 / mV,U_0 / V,U_G / V,Delta U_G,U_Ph,Delta U_Ph,VF
436,-13,1.284,0.0006,0.0005,6.8,0.1,-9
,,,0.2070,0.0005,4.6,0.1,
,,,0.0348,0.0005,3.4,0.1,
,,,0.4910,0.0005,2.2,0.1,
,,,0.616,0.005,1.53,0.03,
,,,0.809,0.005,0.76,0.03,
,,,1.023,0.005,0.272,0.003,
,,,1.172,0.005,0.075,0.003,
,,,1.257,0.005,0.008,0.003,
,,,1.325,0.005,-0.0080,0.0003,
,,,1.424,0.005,-0.0113,0.0001,
,,,1.808,0.005,-0.0127,0.0001,
,,,2.609,0.005,-0.0130,0.0001,
