Lambda / nm,U_I_0 / mV,U_0 / V,U_G / V,Delta U_G,U_Ph,Delta U_Ph,VF
365,-13.2,1.788,0.0007,0.0005,8.6,0.3,-9
,,,0.1065,0.0005,7.5,0.3,
,,,0.2613,0.0005,6.1,0.3,
,,,0.3953,0.0005,4.90,0.03,
,,,0.503,0.005,4.21,0.05,
,,,0.641,0.005,3.27,0.05,
,,,0.897,0.005,1.82,0.05,
,,,1.170,0.005,0.89,0.05,
,,,1.446,0.005,0.38,0.01,
,,,1.599,0.005,0.18,0.01,
,,,1.704,0.005,0.066,0.003,
,,,1.734,0.005,0.033,0.001,
,,,1.794,0.005,0.0044,0.0003,
,,,1.814,0.005,-0.0008,0.0001,
,,,1.836,0.005,-0.0040,0.0003,
,,,1.890,0.005,-0.0080,0.0003,
,,,2.038,0.005,-0.0104,0.0001,
,,,2.550,0.005,-0.0133,0.0001,
