Lambda / nm,U_I_0 / mV,U_0 / V,U_G / V,Delta U_G,U_Ph,Delta U_Ph,VF
546,-5.8,0.651,0.0007,0.0005,1.06,0.01,-9
,,,0.076,0.005,0.798,0.005,
,,,0.186,0.005,0.414,0.001,
,,,0.331,0.005,0.206,0.001,
,,,0.403,0.005,0.125,0.003,
,,,0.392,0.005,0.1370,0.0005,
,,,0.535,0.005,0.0358,0.0003,
,,,0.612,0.005,0.0110,0.0003,
,,,0.684,0.005,0.0011,0.0003,
,,,0.720,0.005,-0.0015,0.0003,
,,,0.787,0.005,-0.0040,0.0003,
,,,1.063,0.005,-0.0056,0.0003,
